"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 11 19:55:05 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","477","Webkit","tests/example.spec.ts","Hooks","","","Single element Screenshot",""
"passed","Fri Feb 11 19:55:05 GMT 2022","Fri Feb 11 19:55:06 GMT 2022","402","Firefox","tests/example.spec.ts","Hooks","","","Single element Screenshot",""
"failed","Fri Feb 11 21:26:35 GMT 2022","Fri Feb 11 21:26:35 GMT 2022","253","Webkit","tests/example.spec.ts","Failing Tests","","","Single element Screenshot",""
"failed","Fri Feb 11 21:26:33 GMT 2022","Fri Feb 11 21:26:33 GMT 2022","253","Webkit","tests/example.spec.ts","Passing Tests","","","Screenshots",""
"failed","Fri Feb 11 21:26:20 GMT 2022","Fri Feb 11 21:26:25 GMT 2022","5381","Firefox","tests/example.spec.ts","Failing Tests","","","Screenshots",""
"failed","Fri Feb 11 21:26:34 GMT 2022","Fri Feb 11 21:26:34 GMT 2022","254","Webkit","tests/example.spec.ts","Passing Tests","","","Single element Screenshot",""
"failed","Fri Feb 11 21:26:34 GMT 2022","Fri Feb 11 21:26:35 GMT 2022","254","Webkit","tests/example.spec.ts","Failing Tests","","","Screenshots",""
"passed","Fri Feb 11 19:55:03 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","1282","Webkit","tests/example.spec.ts","Hooks","","","Screenshots",""
"passed","Fri Feb 11 19:55:03 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","2168","Firefox","tests/example.spec.ts","Hooks","","","Screenshots",""
"passed","Fri Feb 11 21:26:17 GMT 2022","Fri Feb 11 21:26:20 GMT 2022","2241","Firefox","tests/example.spec.ts","Passing Tests","","","Screenshots",""
"failed","Fri Feb 11 21:26:12 GMT 2022","Fri Feb 11 21:26:17 GMT 2022","5435","Chromium","tests/example.spec.ts","Failing Tests","","","Single element Screenshot",""
"broken","Fri Feb 11 21:26:26 GMT 2022","Fri Feb 11 21:26:32 GMT 2022","6065","Firefox","tests/example.spec.ts","Failing Tests","","","Single element Screenshot",""
"passed","Fri Feb 11 21:26:06 GMT 2022","Fri Feb 11 21:26:06 GMT 2022","299","Chromium","tests/example.spec.ts","Passing Tests","","","Single element Screenshot",""
"passed","Fri Feb 11 19:55:03 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","1793","Chromium","tests/example.spec.ts","Hooks","","","Screenshots",""
"passed","Fri Feb 11 21:26:04 GMT 2022","Fri Feb 11 21:26:06 GMT 2022","1559","Chromium","tests/example.spec.ts","Passing Tests","","","Screenshots",""
"failed","Fri Feb 11 21:26:06 GMT 2022","Fri Feb 11 21:26:11 GMT 2022","5202","Chromium","tests/example.spec.ts","Failing Tests","","","Screenshots",""
"passed","Fri Feb 11 19:55:05 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","333","Chromium","tests/example.spec.ts","Hooks","","","Single element Screenshot",""
"passed","Fri Feb 11 21:26:20 GMT 2022","Fri Feb 11 21:26:20 GMT 2022","439","Firefox","tests/example.spec.ts","Passing Tests","","","Single element Screenshot",""
