"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Feb 11 21:38:11 GMT 2022","Fri Feb 11 21:38:17 GMT 2022","5942","Firefox","tests/example.spec.ts","Failing Tests","","","Single element Screenshot",""
"failed","Fri Feb 11 21:38:05 GMT 2022","Fri Feb 11 21:38:11 GMT 2022","5544","Firefox","tests/example.spec.ts","Failing Tests","","","Screenshots",""
"passed","Fri Feb 11 21:38:01 GMT 2022","Fri Feb 11 21:38:03 GMT 2022","1952","Webkit","tests/example.spec.ts","Passing Tests","","","Screenshots",""
"failed","Fri Feb 11 21:38:09 GMT 2022","Fri Feb 11 21:38:15 GMT 2022","5495","Webkit","tests/example.spec.ts","Failing Tests","","","Single element Screenshot",""
"passed","Fri Feb 11 21:38:04 GMT 2022","Fri Feb 11 21:38:05 GMT 2022","524","Firefox","tests/example.spec.ts","Passing Tests","","","Single element Screenshot",""
"passed","Fri Feb 11 19:55:03 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","1793","Chromium","tests/example.spec.ts","Hooks","","","Screenshots",""
"passed","Fri Feb 11 19:55:05 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","477","Webkit","tests/example.spec.ts","Hooks","","","Single element Screenshot",""
"passed","Fri Feb 11 19:55:05 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","333","Chromium","tests/example.spec.ts","Hooks","","","Single element Screenshot",""
"failed","Fri Feb 11 21:38:10 GMT 2022","Fri Feb 11 21:38:16 GMT 2022","5587","Chromium","tests/example.spec.ts","Failing Tests","","","Single element Screenshot",""
"passed","Fri Feb 11 21:38:01 GMT 2022","Fri Feb 11 21:38:04 GMT 2022","2831","Chromium","tests/example.spec.ts","Passing Tests","","","Screenshots",""
"failed","Fri Feb 11 21:38:04 GMT 2022","Fri Feb 11 21:38:09 GMT 2022","5363","Webkit","tests/example.spec.ts","Failing Tests","","","Screenshots",""
"passed","Fri Feb 11 21:38:03 GMT 2022","Fri Feb 11 21:38:04 GMT 2022","449","Webkit","tests/example.spec.ts","Passing Tests","","","Single element Screenshot",""
"passed","Fri Feb 11 19:55:05 GMT 2022","Fri Feb 11 19:55:06 GMT 2022","402","Firefox","tests/example.spec.ts","Hooks","","","Single element Screenshot",""
"passed","Fri Feb 11 19:55:03 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","1282","Webkit","tests/example.spec.ts","Hooks","","","Screenshots",""
"failed","Fri Feb 11 21:38:04 GMT 2022","Fri Feb 11 21:38:10 GMT 2022","5337","Chromium","tests/example.spec.ts","Failing Tests","","","Screenshots",""
"passed","Fri Feb 11 21:38:04 GMT 2022","Fri Feb 11 21:38:04 GMT 2022","412","Chromium","tests/example.spec.ts","Passing Tests","","","Single element Screenshot",""
"passed","Fri Feb 11 19:55:03 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","2168","Firefox","tests/example.spec.ts","Hooks","","","Screenshots",""
"passed","Fri Feb 11 21:38:01 GMT 2022","Fri Feb 11 21:38:04 GMT 2022","3263","Firefox","tests/example.spec.ts","Passing Tests","","","Screenshots",""
