"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Feb 11 21:32:25 GMT 2022","Fri Feb 11 21:32:25 GMT 2022","308","Webkit","tests/example.spec.ts","Passing Tests","","","Screenshots",""
"failed","Fri Feb 11 21:32:26 GMT 2022","Fri Feb 11 21:32:26 GMT 2022","310","Webkit","tests/example.spec.ts","Passing Tests","","","Single element Screenshot",""
"passed","Fri Feb 11 19:55:05 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","333","Chromium","tests/example.spec.ts","Hooks","","","Single element Screenshot",""
"passed","Fri Feb 11 21:32:09 GMT 2022","Fri Feb 11 21:32:11 GMT 2022","2243","Firefox","tests/example.spec.ts","Passing Tests","","","Screenshots",""
"passed","Fri Feb 11 21:31:57 GMT 2022","Fri Feb 11 21:31:57 GMT 2022","332","Chromium","tests/example.spec.ts","Passing Tests","","","Single element Screenshot",""
"failed","Fri Feb 11 21:32:27 GMT 2022","Fri Feb 11 21:32:27 GMT 2022","317","Webkit","tests/example.spec.ts","Failing Tests","","","Screenshots",""
"failed","Fri Feb 11 21:32:03 GMT 2022","Fri Feb 11 21:32:08 GMT 2022","5509","Chromium","tests/example.spec.ts","Failing Tests","","","Single element Screenshot",""
"failed","Fri Feb 11 21:32:27 GMT 2022","Fri Feb 11 21:32:28 GMT 2022","319","Webkit","tests/example.spec.ts","Failing Tests","","","Single element Screenshot",""
"broken","Fri Feb 11 21:32:18 GMT 2022","Fri Feb 11 21:32:24 GMT 2022","6105","Firefox","tests/example.spec.ts","Failing Tests","","","Single element Screenshot",""
"passed","Fri Feb 11 19:55:05 GMT 2022","Fri Feb 11 19:55:06 GMT 2022","402","Firefox","tests/example.spec.ts","Hooks","","","Single element Screenshot",""
"passed","Fri Feb 11 21:32:11 GMT 2022","Fri Feb 11 21:32:12 GMT 2022","564","Firefox","tests/example.spec.ts","Passing Tests","","","Single element Screenshot",""
"passed","Fri Feb 11 21:31:56 GMT 2022","Fri Feb 11 21:31:57 GMT 2022","727","Chromium","tests/example.spec.ts","Passing Tests","","","Screenshots",""
"passed","Fri Feb 11 19:55:03 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","1282","Webkit","tests/example.spec.ts","Hooks","","","Screenshots",""
"passed","Fri Feb 11 19:55:05 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","477","Webkit","tests/example.spec.ts","Hooks","","","Single element Screenshot",""
"failed","Fri Feb 11 21:31:57 GMT 2022","Fri Feb 11 21:32:02 GMT 2022","5236","Chromium","tests/example.spec.ts","Failing Tests","","","Screenshots",""
"passed","Fri Feb 11 19:55:03 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","1793","Chromium","tests/example.spec.ts","Hooks","","","Screenshots",""
"passed","Fri Feb 11 19:55:03 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","2168","Firefox","tests/example.spec.ts","Hooks","","","Screenshots",""
"failed","Fri Feb 11 21:32:12 GMT 2022","Fri Feb 11 21:32:17 GMT 2022","5434","Firefox","tests/example.spec.ts","Failing Tests","","","Screenshots",""
