"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 14 19:34:37 GMT 2022","Mon Feb 14 19:34:44 GMT 2022","6654","Chromium","e2e-login.spec.ts","Login / Logout Flow","","","Negative Scenario for login",""
"passed","Mon Feb 14 18:12:24 GMT 2022","Mon Feb 14 18:12:24 GMT 2022","681","Webkit","tests/example.spec.ts","","","","Custom Helpers",""
"failed","Mon Feb 14 19:34:37 GMT 2022","Mon Feb 14 19:34:48 GMT 2022","10637","Chromium","e2e-currency-exchange.spec.ts","Currency Exchange Form","","","Should make currency exchange",""
"failed","Mon Feb 14 18:00:54 GMT 2022","Mon Feb 14 18:00:59 GMT 2022","5441","Webkit","tests/example.spec.ts","Failing Tests","","","Single element Screenshot",""
"failed","Mon Feb 14 19:34:48 GMT 2022","Mon Feb 14 19:34:59 GMT 2022","10302","Chromium","e2e-transfer-funds.spec.ts","Transfer Funds and Make Payments","","","Transfer funds",""
"passed","Mon Feb 14 19:34:48 GMT 2022","Mon Feb 14 19:34:50 GMT 2022","1338","Chromium","e2e-submit-form.spec.ts","Feedback Form","","","Reset feedback form",""
"passed","Mon Feb 14 19:07:26 GMT 2022","Mon Feb 14 19:07:28 GMT 2022","2192","Chromium","e2e-login.spec.ts","Login / Logout Flow","","","Negative Login Scenario",""
"passed","Mon Feb 14 19:34:48 GMT 2022","Mon Feb 14 19:34:49 GMT 2022","1201","Chromium","e2e-search.spec.ts","Search Results","","","Should find search results",""
"failed","Mon Feb 14 18:00:49 GMT 2022","Mon Feb 14 18:00:54 GMT 2022","5328","Firefox","tests/example.spec.ts","Failing Tests","","","Screenshots",""
"failed","Mon Feb 14 19:34:37 GMT 2022","Mon Feb 14 19:34:48 GMT 2022","10636","Chromium","e2e-payment.spec.ts","New Payment","","","Should send new payment",""
"passed","Mon Feb 14 20:24:14 GMT 2022","Mon Feb 14 20:24:15 GMT 2022","438","Chromium","visual.spec.ts","Visual Regression Testing Examples","","","Single Element Snapshot",""
"passed","Mon Feb 14 18:12:24 GMT 2022","Mon Feb 14 18:12:25 GMT 2022","978","Firefox","tests/example.spec.ts","","","","Custom Helpers",""
"failed","Mon Feb 14 18:00:48 GMT 2022","Mon Feb 14 18:00:54 GMT 2022","5334","Webkit","tests/example.spec.ts","Failing Tests","","","Screenshots",""
"failed","Mon Feb 14 20:43:30 GMT 2022","Mon Feb 14 20:43:37 GMT 2022","7084","Chromium","login-visual.spec.ts","Login Page Visual Test","","","Login Form",""
"passed","Mon Feb 14 18:37:49 GMT 2022","Mon Feb 14 18:37:51 GMT 2022","1334","Firefox","tests/example.spec.ts","Passing Tests","","","Single element Screenshot",""
"passed","Mon Feb 14 19:34:50 GMT 2022","Mon Feb 14 19:34:51 GMT 2022","1047","Chromium","e2e-submit-form.spec.ts","Feedback Form","","","Submit feedback form",""
"passed","Mon Feb 14 18:37:49 GMT 2022","Mon Feb 14 18:37:51 GMT 2022","1301","Firefox","tests/example.spec.ts","Passing Tests","","","Screenshots",""
"failed","Mon Feb 14 19:07:26 GMT 2022","Mon Feb 14 19:07:33 GMT 2022","7163","Chromium","e2e-login.spec.ts","Login / Logout Flow","","","Positive Login Scenario + Logout",""
"passed","Mon Feb 14 18:29:42 GMT 2022","Mon Feb 14 18:29:56 GMT 2022","14377","Chromium","tests/example.spec.ts","","","","Custom Helpers",""
"passed","Mon Feb 14 18:37:51 GMT 2022","Mon Feb 14 18:37:52 GMT 2022","818","Webkit","tests/example.spec.ts","Passing Tests","","","Screenshots",""
"passed","Fri Feb 11 19:55:03 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","1793","Chromium","tests/example.spec.ts","Hooks","","","Screenshots",""
"failed","Mon Feb 14 18:00:55 GMT 2022","Mon Feb 14 18:01:01 GMT 2022","5853","Firefox","tests/example.spec.ts","Failing Tests","","","Single element Screenshot",""
"failed","Mon Feb 14 18:00:54 GMT 2022","Mon Feb 14 18:01:00 GMT 2022","5528","Chromium","tests/example.spec.ts","Failing Tests","","","Single element Screenshot",""
"passed","Mon Feb 14 20:24:08 GMT 2022","Mon Feb 14 20:24:14 GMT 2022","5994","Chromium","visual.spec.ts","Visual Regression Testing Examples","","","Full Page Snapshot",""
"passed","Fri Feb 11 19:55:05 GMT 2022","Fri Feb 11 19:55:06 GMT 2022","402","Firefox","tests/example.spec.ts","Hooks","","","Single element Screenshot",""
"passed","Mon Feb 14 18:37:49 GMT 2022","Mon Feb 14 18:37:50 GMT 2022","1080","Chromium","tests/example.spec.ts","Passing Tests","","","Single element Screenshot",""
"passed","Fri Feb 11 19:55:05 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","333","Chromium","tests/example.spec.ts","Hooks","","","Single element Screenshot",""
"passed","Fri Feb 11 19:55:03 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","1282","Webkit","tests/example.spec.ts","Hooks","","","Screenshots",""
"passed","Fri Feb 11 19:55:05 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","477","Webkit","tests/example.spec.ts","Hooks","","","Single element Screenshot",""
"failed","Mon Feb 14 19:34:44 GMT 2022","Mon Feb 14 19:34:51 GMT 2022","7305","Chromium","e2e-login.spec.ts","Login / Logout Flow","","","Positive Scenario for login + logout",""
"failed","Mon Feb 14 19:34:37 GMT 2022","Mon Feb 14 19:34:48 GMT 2022","10632","Chromium","e2e-filter-transactions.spec.ts","Filter Transactions","","","Verify the results for each account",""
"failed","Mon Feb 14 18:00:49 GMT 2022","Mon Feb 14 18:00:54 GMT 2022","5325","Chromium","tests/example.spec.ts","Failing Tests","","","Screenshots",""
"passed","Mon Feb 14 18:37:49 GMT 2022","Mon Feb 14 18:37:50 GMT 2022","1069","Chromium","tests/example.spec.ts","Passing Tests","","","Screenshots",""
"passed","Fri Feb 11 19:55:03 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","2168","Firefox","tests/example.spec.ts","Hooks","","","Screenshots",""
"passed","Mon Feb 14 18:37:51 GMT 2022","Mon Feb 14 18:37:52 GMT 2022","813","Webkit","tests/example.spec.ts","Passing Tests","","","Single element Screenshot",""
