"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 14 19:34:48 GMT 2022","Mon Feb 14 19:34:49 GMT 2022","1201","Chromium","e2e-search.spec.ts","Search Results","","","Should find search results",""
"failed","Mon Feb 14 18:00:49 GMT 2022","Mon Feb 14 18:00:54 GMT 2022","5325","Chromium","tests/example.spec.ts","Failing Tests","","","Screenshots",""
"passed","Fri Feb 11 19:55:03 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","1282","Webkit","tests/example.spec.ts","Hooks","","","Screenshots",""
"passed","Mon Feb 14 18:37:49 GMT 2022","Mon Feb 14 18:37:51 GMT 2022","1334","Firefox","tests/example.spec.ts","Passing Tests","","","Single element Screenshot",""
"failed","Mon Feb 14 19:34:48 GMT 2022","Mon Feb 14 19:34:59 GMT 2022","10302","Chromium","e2e-transfer-funds.spec.ts","Transfer Funds and Make Payments","","","Transfer funds",""
"failed","Mon Feb 14 19:34:37 GMT 2022","Mon Feb 14 19:34:48 GMT 2022","10632","Chromium","e2e-filter-transactions.spec.ts","Filter Transactions","","","Verify the results for each account",""
"failed","Tue Feb 15 19:24:43 GMT 2022","Tue Feb 15 19:24:44 GMT 2022","562","Chromium","api.spec.ts","API Testing","","","POST Request - Create New User",""
"failed","Mon Feb 14 18:00:49 GMT 2022","Mon Feb 14 18:00:54 GMT 2022","5328","Firefox","tests/example.spec.ts","Failing Tests","","","Screenshots",""
"failed","Mon Feb 14 18:00:54 GMT 2022","Mon Feb 14 18:00:59 GMT 2022","5441","Webkit","tests/example.spec.ts","Failing Tests","","","Single element Screenshot",""
"passed","Tue Feb 15 20:00:22 GMT 2022","Tue Feb 15 20:00:24 GMT 2022","1114","Webkit","tests/example.spec.ts","Passing Tests","","","Single element Screenshot",""
"passed","Mon Feb 14 18:37:49 GMT 2022","Mon Feb 14 18:37:50 GMT 2022","1080","Chromium","tests/example.spec.ts","Passing Tests","","","Single element Screenshot",""
"passed","Fri Feb 11 19:55:05 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","477","Webkit","tests/example.spec.ts","Hooks","","","Single element Screenshot",""
"passed","Mon Feb 14 18:29:42 GMT 2022","Mon Feb 14 18:29:56 GMT 2022","14377","Chromium","tests/example.spec.ts","","","","Custom Helpers",""
"passed","Tue Feb 15 20:00:22 GMT 2022","Tue Feb 15 20:00:23 GMT 2022","192","Webkit","tests/api/api.spec.ts","API Testing","","","Simple API Test - Assert Response Status",""
"passed","Tue Feb 15 20:00:22 GMT 2022","Tue Feb 15 20:00:25 GMT 2022","2237","Webkit","tests/visual/login-visual.spec.ts","Login Page Visual Test","","","Login Form",""
"passed","Fri Feb 11 19:55:03 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","2168","Firefox","tests/example.spec.ts","Hooks","","","Screenshots",""
"passed","Mon Feb 14 19:07:26 GMT 2022","Mon Feb 14 19:07:28 GMT 2022","2192","Chromium","e2e-login.spec.ts","Login / Logout Flow","","","Negative Login Scenario",""
"failed","Mon Feb 14 18:00:48 GMT 2022","Mon Feb 14 18:00:54 GMT 2022","5334","Webkit","tests/example.spec.ts","Failing Tests","","","Screenshots",""
"failed","Mon Feb 14 18:00:54 GMT 2022","Mon Feb 14 18:01:00 GMT 2022","5528","Chromium","tests/example.spec.ts","Failing Tests","","","Single element Screenshot",""
"failed","Mon Feb 14 19:07:26 GMT 2022","Mon Feb 14 19:07:33 GMT 2022","7163","Chromium","e2e-login.spec.ts","Login / Logout Flow","","","Positive Login Scenario + Logout",""
"passed","Fri Feb 11 19:55:03 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","1793","Chromium","tests/example.spec.ts","Hooks","","","Screenshots",""
